Index,Food_name,protein_weight,carb_weight,fat_weight,calories,weight,n_protein_weight,n_carb_weight,n_fat_weight,n_calories
0,Apple pie,0.5,10,3.1,67,28.4,1.76056338,35.21126761,10.91549296,235.915493
1,Baby back ribs,48,13,45,668,242,19.83471074,5.371900826,18.59504132,276.0330579
2,Baklava,3,30,11,230,56,5.357142857,53.57142857,19.64285714,410.7142857
3,Beef carpaccio,13,2,13,181,78,16.66666667,2.564102564,16.66666667,232.0512821
4,Beef tartare,33,5.7,44,552,224,14.73214286,2.544642857,19.64285714,246.4285714
5,Beet salad,5.9,13,27,317,137,4.306569343,9.489051095,19.7080292,231.3868613
6,Beignets,6,40,8.5,262,90,6.666666667,44.44444444,9.444444444,291.1111111
7,Bibimbap,36,155,22,202,864,4.166666667,17.93981481,2.546296296,23.37962963
8,Bread pudding,7.7,72,7.3,377,200,3.85,36,3.65,188.5
9,Breakfast burrito,29,72,28,657,388,7.474226804,18.55670103,7.216494845,169.3298969
10,Bruschetta,1.3,6.2,4.9,72,35,3.714285714,17.71428571,14,205.7142857
11,Caesar salad,10,23,40,481,305,3.278688525,7.540983607,13.1147541,157.704918
12,Cannoli,6,18,15,233,80,7.5,22.5,18.75,291.25
13,Caprese salad,13,4.7,17,220,161,8.074534161,2.919254658,10.55900621,136.6459627
14,Carrot cake,6.6,73,30,577,173,3.815028902,42.19653179,17.34104046,333.5260116
15,Ceviche,31,5.3,2.7,165,241,12.86307054,2.199170124,1.12033195,68.46473029
16,Cheesecake,6.9,32,28,401,125,5.52,25.6,22.4,320.8
17,Cheese plate,45,8.4,50,662,170,26.47058824,4.941176471,29.41176471,389.4117647
18,Chicken curry,28,7.5,11,243,235,11.91489362,3.191489362,4.680851064,103.4042553
19,Chicken quesadilla,15,23,13,267,123,12.19512195,18.69918699,10.56910569,217.0731707
20,Chicken wings,4.5,2.6,6.5,88,27,16.66666667,9.62962963,24.07407407,325.9259259
21,Chocolate cake,3.8,58,22,424,109,3.486238532,53.21100917,20.18348624,388.9908257
22,Chocolate mousse,8.4,32,32,455,202,4.158415842,15.84158416,15.84158416,225.2475248
23,Churros,0.5,8.4,7.7,103,26,1.923076923,32.30769231,29.61538462,396.1538462
24,Clam chowder,6.6,21,10,201,254,2.598425197,8.267716535,3.937007874,79.13385827
25,Club sandwich,51,40,25,601,300,17,13.33333333,8.333333333,200.3333333
26,Crab cakes,31,20,30,477,276,11.23188406,7.246376812,10.86956522,172.826087
27,Creme brulee,8.3,30,60,687,200,4.15,15,30,343.5
28,Croque madame,37,57,38,721,363,10.19283747,15.70247934,10.46831956,198.6225895
29,Cup cakes,2,53,13,330,90,2.222222222,58.88888889,14.44444444,366.6666667
30,Deviled eggs,3.3,0.5,6,69,31,10.64516129,1.612903226,19.35483871,222.5806452
31,Donuts,2.1,22,11,195,43,4.88372093,51.1627907,25.58139535,453.4883721
32,Dumplings,3.6,7.7,2.3,67,37,9.72972973,20.81081081,6.216216216,181.0810811
33,Edamame,17,15,8,189,155,10.96774194,9.677419355,5.161290323,121.9354839
34,Eggs benedict,30,30,55,733,282,10.63829787,10.63829787,19.5035461,259.929078
35,Escargots,14,1.7,1.2,76,85,16.47058824,2,1.411764706,89.41176471
36,Falafel,2.3,5,3,57,17,13.52941176,29.41176471,17.64705882,335.2941176
37,Filet mignon,28,0,18,278,104,26.92307692,0,17.30769231,267.3076923
38,Fish and chips,43,71,26,688,513,8.382066277,13.84015595,5.068226121,134.1130604
39,Foie gras,1.5,0.6,5.7,60,13,11.53846154,4.615384615,43.84615385,461.5384615
40,French fries,4,48,17,365,117,3.418803419,41.02564103,14.52991453,311.965812
41,French onion soup,3.6,8,1.7,55,43,8.372093023,18.60465116,3.953488372,127.9069767
42,French toast,5,16,7,149,65,7.692307692,24.61538462,10.76923077,229.2307692
43,Fried calamari,15,7,6,149,85,17.64705882,8.235294118,7.058823529,175.2941176
44,Fried rice,7,43,3.2,228,140,5,30.71428571,2.285714286,162.8571429
45,Frozen yogurt,2.9,17,4,114,72,4.027777778,23.61111111,5.555555556,158.3333333
46,Garlic bread,4.9,25,10,206,59,8.305084746,42.37288136,16.94915254,349.1525424
47,Gnocchi,7.7,52,1.5,254,127,6.062992126,40.94488189,1.181102362,200
48,Greek salad,5.1,7.4,15,179,159,3.20754717,4.65408805,9.433962264,112.5786164
49,Grilled cheese sandwich,1.4,8,3.6,71,14.2,9.85915493,56.33802817,25.35211268,500
50,Grilled salmon,50,0,28,468,227,22.02643172,0,12.33480176,206.1674009
51,Guacamole,4.2,20,32,352,233,1.802575107,8.583690987,13.73390558,151.0729614
52,Gyoza,13,60,2,310,18,72.22222222,333.3333333,11.11111111,1722.222222
53,Hamburger,20,29,17,354,20,100,145,85,1770
54,Hot and sour soup,6,10,2.8,90,233,2.575107296,4.291845494,1.201716738,38.62660944
55,Hot dog,5,2.2,13,151,52,9.615384615,4.230769231,25,290.3846154
56,Huevos rancheros,29,39,43,644,450,6.444444444,8.666666667,9.555555556,143.1111111
57,Hummus,1.2,2.1,1.4,25,15,8,14,9.333333333,166.6666667
58,Ice cream,2.3,16,7,137,66,3.484848485,24.24242424,10.60606061,207.5757576
59,Lasagna,9,19,6,166,123,7.317073171,15.44715447,4.87804878,134.9593496
60,Lobster bisque,6,58,6,300,600,1,9.666666667,1,50
61,Lobster roll sandwich,42,33,22,507,254,16.53543307,12.99212598,8.661417323,199.6062992
62,Macaroni and cheese,13,44,9,310,189,6.878306878,23.28042328,4.761904762,164.021164
63,Macarons,0.9,17,3,97,24,3.75,70.83333333,12.5,404.1666667
64,Miso soup,5.8,3.5,3,59,241,2.406639004,1.452282158,1.244813278,24.4813278
65,Mussels,20,6,3.8,146,85,23.52941176,7.058823529,4.470588235,171.7647059
66,Nachos,9,36,19,346,113,7.96460177,31.85840708,16.81415929,306.1946903
67,Omelette,6,0.4,7,94,61,9.836065574,0.655737705,11.47540984,154.0983607
68,Onion rings,4.5,51,30,480,117,3.846153846,43.58974359,25.64102564,410.2564103
69,Oysters,8,10,1,175,88,9.090909091,11.36363636,1.136363636,198.8636364
70,Pad thai,64,46,45,838,494,12.95546559,9.311740891,9.109311741,169.6356275
71,Paella,25,34,22,442,241,10.37344398,14.10788382,9.128630705,183.4024896
72,Pancakes,1.8,8,2.7,64,28.4,6.338028169,28.16901408,9.507042254,225.3521127
73,Panna cotta,2.8,19,34,390,122,2.295081967,15.57377049,27.86885246,319.6721311
74,Peking duck,30,42,41,663,275,10.90909091,15.27272727,14.90909091,241.0909091
75,Pho,47,78,14,636,710,6.61971831,10.98591549,1.971830986,89.57746479
76,Pizza,12,36,10,285,107,11.21495327,33.64485981,9.345794393,266.3551402
77,Pork chop,52,0,31,505,219,23.74429224,0,14.15525114,230.5936073
78,Poutine,9.4,22,19,294,133,7.067669173,16.54135338,14.28571429,221.0526316
79,Prime rib,19,0,29,340,85,22.35294118,0,34.11764706,400
80,Pulled pork sandwich,33,47,11,417,249,13.25301205,18.87550201,4.417670683,167.4698795
81,Ramen,4.5,27,7,188,43,10.46511628,62.79069767,16.27906977,437.2093023
82,Ravioli,6,33,3.5,187,242,2.479338843,13.63636364,1.446280992,77.27272727
83,Red velvet cake,4.2,36,23,368,109,3.853211009,33.02752294,21.10091743,337.6146789
84,Risotto,14,54,13,413,337,4.154302671,16.02373887,3.857566766,122.5519288
85,Samosa,3.5,24,17,262,100,3.5,24,17,262
86,Sashimi,5.3,0.3,1.2,35,28,18.92857143,1.071428571,4.285714286,125
87,Scallops,5.8,1.6,1,39,30,19.33333333,5.333333333,3.333333333,130
88,Seaweed salad,2.9,8,7.3,106,93,3.11827957,8.602150538,7.849462366,113.9784946
89,Shrimp and grits,23,21,20,358,240,9.583333333,8.75,8.333333333,149.1666667
90,Spaghetti bolognese,35,84,22,667,660,5.303030303,12.72727273,3.333333333,101.0606061
91,Spaghetti carbonara,44,133,33,1018,512,8.59375,25.9765625,6.4453125,198.828125
92,Spring rolls,9,2.4,4.4,85,55,16.36363636,4.363636364,8,154.5454545
93,Steak,62,0,48,679,251,24.70119522,0,19.12350598,270.5179283
94,Strawberry shortcake,1.7,14,4,98,28.4,5.985915493,49.29577465,14.08450704,345.0704225
95,Sushi,7.8,38,19,349,211,3.696682464,18.00947867,9.004739336,165.4028436
96,Tacos,6,14,9,156,69,8.695652174,20.28985507,13.04347826,226.0869565
97,Takoyaki,10,35,23,340,229.631,4.354812721,15.24184452,10.01606926,148.0636325
98,Tiramisu,5.7,24,30,392,119,4.789915966,20.16806723,25.21008403,329.4117647
99,Tuna tartare,7.7,1.9,6.8,98,56,13.75,3.392857143,12.14285714,175
100,Waffles,2.2,9,4,82,28.4,7.746478873,31.69014085,14.08450704,288.7323944